Date,average_hourly_earnings
2014-02-01,24.33
2014-03-01,24.32
2014-04-01,24.34
2014-05-01,24.4
2014-06-01,24.46
2014-07-01,24.48
2014-08-01,24.54
2014-09-01,24.55
2014-10-01,24.58
2014-11-01,24.66
2014-12-01,24.62
2015-01-01,24.75
2015-02-01,24.79
2015-03-01,24.86
2015-04-01,24.89
2015-05-01,24.97
2015-06-01,24.97
2015-07-01,25.0
2015-08-01,25.09
2015-09-01,25.11
2015-10-01,25.19
2015-11-01,25.25
2015-12-01,25.24
2016-01-01,25.38
2016-02-01,25.38
2016-03-01,25.45
2016-04-01,25.53
2016-05-01,25.58
2016-06-01,25.62
2016-07-01,25.69
2016-08-01,25.72
2016-09-01,25.77
2016-10-01,25.89
2016-11-01,25.9
2016-12-01,25.92
2017-01-01,26.0
2017-02-01,26.07
2017-03-01,26.11
2017-04-01,26.17
2017-05-01,26.21
2017-06-01,26.26
2017-07-01,26.36
2017-08-01,26.38
2017-09-01,26.49
2017-10-01,26.49
2017-11-01,26.53
2017-12-01,26.61
2018-01-01,26.73
2018-02-01,26.75
2018-03-01,26.86
2018-04-01,26.91
2018-05-01,26.98
2018-06-01,27.04
2018-07-01,27.09
2018-08-01,27.2
2018-09-01,27.32
2018-10-01,27.37
2018-11-01,27.44
2018-12-01,27.55
2019-01-01,27.59
2019-02-01,27.71
2019-03-01,27.8
2019-04-01,27.78
2019-05-01,27.86
2019-06-01,27.95
2019-07-01,28.02
2019-08-01,28.13
2019-09-01,28.17
2019-10-01,28.23
2019-11-01,28.35
2019-12-01,28.37
2020-01-01,28.44
2020-02-01,28.55
2020-03-01,28.77
2020-04-01,30.01
2020-05-01,29.72
2020-06-01,29.38
2020-07-01,29.38
2020-08-01,29.48
2020-09-01,29.51
2020-10-01,29.54
2020-11-01,29.63
2020-12-01,29.9
2021-01-01,29.93
2021-02-01,30.06
2021-03-01,30.06
2021-04-01,30.21
2021-05-01,30.39
2021-06-01,30.54
2021-07-01,30.65
2021-08-01,30.77
2021-09-01,30.95
2021-10-01,31.15
2021-11-01,31.24
2021-12-01,31.4
2022-01-01,31.63
2022-02-01,31.65
2022-03-01,31.84
2022-04-01,31.95
2022-05-01,32.08
2022-06-01,32.2
2022-07-01,32.33
2022-08-01,32.44
2022-09-01,32.54
2022-10-01,32.7
2022-11-01,32.83
2022-12-01,32.94
2023-01-01,33.07
2023-02-01,33.15
2023-03-01,33.31
2023-04-01,33.44
2023-05-01,33.54
2023-06-01,33.7
2023-07-01,33.84
2023-08-01,33.91
2023-09-01,34.01
2023-10-01,34.1
2023-11-01,34.23
2023-12-01,34.34
2024-01-01,34.51
2024-02-01,34.56
2024-03-01,34.69
2024-04-01,34.75
2024-05-01,34.88
2024-06-01,34.99
2024-07-01,35.07
2024-08-01,35.22
2024-09-01,35.33
2024-10-01,35.46
2024-11-01,35.59
2024-12-01,35.69
