Date,average_hourly_earnings
2014-03-01,24.31
2014-04-01,24.34
2014-05-01,24.4
2014-06-01,24.46
2014-07-01,24.48
2014-08-01,24.54
2014-09-01,24.55
2014-10-01,24.58
2014-11-01,24.66
2014-12-01,24.63
2015-01-01,24.75
2015-02-01,24.8
2015-03-01,24.85
2015-04-01,24.89
2015-05-01,24.97
2015-06-01,24.97
2015-07-01,25.01
2015-08-01,25.09
2015-09-01,25.11
2015-10-01,25.2
2015-11-01,25.25
2015-12-01,25.25
2016-01-01,25.37
2016-02-01,25.38
2016-03-01,25.45
2016-04-01,25.53
2016-05-01,25.58
2016-06-01,25.62
2016-07-01,25.69
2016-08-01,25.71
2016-09-01,25.77
2016-10-01,25.9
2016-11-01,25.9
2016-12-01,25.93
2017-01-01,26.0
2017-02-01,26.07
2017-03-01,26.11
2017-04-01,26.17
2017-05-01,26.21
2017-06-01,26.26
2017-07-01,26.35
2017-08-01,26.37
2017-09-01,26.49
2017-10-01,26.5
2017-11-01,26.54
2017-12-01,26.63
2018-01-01,26.72
2018-02-01,26.74
2018-03-01,26.85
2018-04-01,26.91
2018-05-01,26.98
2018-06-01,27.03
2018-07-01,27.1
2018-08-01,27.21
2018-09-01,27.32
2018-10-01,27.37
2018-11-01,27.44
2018-12-01,27.56
2019-01-01,27.59
2019-02-01,27.69
2019-03-01,27.77
2019-04-01,27.79
2019-05-01,27.88
2019-06-01,27.96
2019-07-01,28.03
2019-08-01,28.14
2019-09-01,28.16
2019-10-01,28.23
2019-11-01,28.34
2019-12-01,28.38
2020-01-01,28.43
2020-02-01,28.54
2020-03-01,28.74
2020-04-01,30.04
2020-05-01,29.72
2020-06-01,29.38
2020-07-01,29.39
2020-08-01,29.5
2020-09-01,29.51
2020-10-01,29.55
2020-11-01,29.64
2020-12-01,29.91
2021-01-01,29.92
2021-02-01,30.07
2021-03-01,30.04
2021-04-01,30.23
2021-05-01,30.41
2021-06-01,30.55
2021-07-01,30.66
2021-08-01,30.79
2021-09-01,30.96
2021-10-01,31.15
2021-11-01,31.25
2021-12-01,31.41
2022-01-01,31.62
2022-02-01,31.66
2022-03-01,31.82
2022-04-01,31.96
2022-05-01,32.1
2022-06-01,32.2
2022-07-01,32.35
2022-08-01,32.44
2022-09-01,32.55
2022-10-01,32.7
2022-11-01,32.84
2022-12-01,32.96
2023-01-01,33.05
2023-02-01,33.16
2023-03-01,33.28
2023-04-01,33.42
2023-05-01,33.52
2023-06-01,33.69
2023-07-01,33.84
2023-08-01,33.89
2023-09-01,33.99
2023-10-01,34.07
2023-11-01,34.19
2023-12-01,34.31
2024-01-01,34.47
2024-02-01,34.54
2024-03-01,34.67
2024-04-01,34.75
2024-05-01,34.89
2024-06-01,35.0
2024-07-01,35.07
2024-08-01,35.23
2024-09-01,35.33
2024-10-01,35.48
2024-11-01,35.61
2024-12-01,35.7
2025-01-01,35.87
