headline,subhead,link,title,journal
US court upholds Theranos founder Elizabeth Holmes’ conviction,-,https://edition.cnn.com/2025/02/24/business/elizabeth-holmes-conviction-court/index.html?utm_source=business_ribbon,economy,cnn
"Apple, facing tariffs on Chinese imports, says it will invest $500 billion in US facilities",-,https://edition.cnn.com/2025/02/24/tech/apple-investment-united-states/index.html?utm_source=business_ribbon,economy,cnn
Lester Holt is stepping down as anchor of ‘NBC Nightly News’,-,https://edition.cnn.com/2025/02/24/media/lester-holt-nbc/index.html?utm_source=business_ribbon,economy,cnn
Starbucks is laying off workers and paring back the menu as it tries to turn the business around,-,https://edition.cnn.com/2025/02/24/business/starbucks-white-hot-chocolate-layoff-workers/index.html,economy,cnn
"If Trump wants to fix the inflation crisis, he has a funny way of showing it",-,https://edition.cnn.com/2025/02/24/economy/trump-inflation-tariffs/index.html,economy,cnn
Trump’s latest tariff threat could make your life a lot more expensive,-,https://edition.cnn.com/2025/02/24/economy/semiconductor-chips-tariffs-trump/index.html,economy,cnn
"Apple, facing tariffs on Chinese imports, says it will invest $500 billion in US facilities",-,https://edition.cnn.com/2025/02/24/tech/apple-investment-united-states/index.html,tech,cnn
Apple needs the iPhone 16e to be a hit. Here’s why it has a chance,-,https://edition.cnn.com/2025/02/23/tech/apple-iphone-16e/index.html,tech,cnn
Coinbase says SEC will drop case that ‘could have killed the crypto industry in America’,-,https://edition.cnn.com/2025/02/21/tech/coinbase-sec-case-update/index.html,tech,cnn
Buying a new phone? Why you shouldn’t panic about tariff price hikes,-,https://edition.cnn.com/2025/02/07/tech/phones-more-expensive-tariffs-trump-2025/index.html,tech,cnn
"The real reason behind the DeepSeek hype, according to AI experts",-,https://edition.cnn.com/2025/02/14/tech/deepseek-ai-openai-hype/index.html,tech,cnn
Meta keeps trying to invent the future. It hasn’t worked yet,-,https://edition.cnn.com/2025/02/17/tech/meta-robot-glasses-facebook/index.html,tech,cnn
Jamie Dimon calls U.S. government ‘inefficient’ and says Elon Musk’s DOGE effort ‘needs to be done’,-,https://www.cnbc.com/2025/02/24/jamie-dimon-us-government-inefficient-touts-elon-musk-doge-effort.html,economy,cnbc
"Starbucks to lay off 1,100 corporate workers as sales sag",-,https://www.cnbc.com/2025/02/24/starbucks-to-lay-off-1100-corporate-workers.html,economy,cnbc
Bluebird Bio sells itself to private equity after tough times,-,https://www.cnbc.com/2025/02/21/bluebird-bio-gene-therapy-sells-itself-to-carlyle-and-sk-capital.html,economy,cnbc
"UnitedHealth’s rough run continues, with buyouts and a reported DOJ probe",-,https://www.cnbc.com/2025/02/21/unitedhealth-faces-doj-investigation-buyouts-stock-price-drop.html,economy,cnbc
IMAX CEO expects $1.2 billion in box office receipts in 2025,-,https://www.cnbc.com/2025/02/21/imax-ceo-2025-box-office-receipt-expectations.html,economy,cnbc
"Shortage of Novo Nordisk’s Wegovy and Ozempic drugs is resolved, FDA says",-,https://www.cnbc.com/2025/02/21/fda-shortage-of-novo-nordisks-wegovy-and-ozempic-drugs-is-resolved.html,economy,cnbc
How AI is speeding the mining of valuable metals needed to power the clean economy ,-,https://www.cnbc.com/2025/02/24/earth-ai-reducing-mining-time-for-metals-to-power-the-clean-economy-.html,tech,cnbc
Crypto exchange Bybit says it replenished reserves after record $1.5 billion hack,-,https://www.cnbc.com/2025/02/24/bybit-replenished-reserves-after-record-breaking-1point5-billion-hack.html,tech,cnbc
"PayPal brings many of its brands under single umbrella, but Venmo remains stand-alone",-,https://www.cnbc.com/2025/02/24/paypal-brings-many-brands-under-single-umbrella-venmo-remains-stand-alone.html,tech,cnbc
Robinhood says SEC dismissed crypto unit investigation in latest sign of easier regulation for industry,-,https://www.cnbc.com/2025/02/24/robinhood-says-sec-dismissed-crypto-unit-investigation-in-latest-sign-of-easier-regulation-for-industry.html,tech,cnbc
Big tech companies show interest in hydrogen and nuclear energy for data centers,-,https://www.cnbc.com/2025/02/24/big-tech-companies-turn-to-hydrogen-to-power-ai-data-centers.html,tech,cnbc
Apple to open AI server factory in Texas as part of $500 billion U.S. investment,-,https://www.cnbc.com/2025/02/24/apple-to-open-texas-ai-server-factory-in-500-billion-us-expansion.html,tech,cnbc
Nvidia will face off with investors demanding perfection as the ‘spigot of investment dollars’ gushes into AI,Tech,https://fortune.com/2025/02/24/nvidia-earnings-jensen-huang-tech-stocks-blackwell-ai-deepseek/,economy,fortune
"Trump takes a victory lap on Apple’s $500 billion US investment, but one analyst calls it ‘completely unrealistic’",Finance,https://fortune.com/2025/02/24/apple-500-billion-investment-donald-trump-analysts-react-tim-cook/,economy,fortune
S&P 500 notches a comeback after Friday blowout marks its worst trading session of the year,Finance,https://fortune.com/2025/02/24/sp500-dow-nasdaq-finance-stocks-trump-tariffs-volatility/,economy,fortune
Manchester United to cut 200 more jobs in attempt to stem losses,Finance,https://fortune.com/2025/02/24/manchester-united-jobs-layoffs-omar-berrada-london-office/,economy,fortune
"Microsoft cancels leases for AI data centers, analyst says",Tech,https://fortune.com/2025/02/24/microsoft-cancels-leases-for-ai-data-centers-analyst-says/,economy,fortune
"Apple will add 20,000 U.S. jobs amid threat from Trump tariffs",Tech,https://fortune.com/2025/02/24/apple-add-20000-us-jobs-amid-threat-from-trump-tariffs/,economy,fortune
The CEO of Snowflake left Google to lead the $43 billion AI company—he says a weekly war room is the secret sauce behind its recent resurgence,Success,https://fortune.com/2025/02/24/snowflake-ceo-sridhar-ramaswamy-ai-war-rooms-soaring-stock-revenue/,tech,fortune
Alibaba shares tumble as Trump order stirs China trade angst,Tech,https://fortune.com/2025/02/24/alibaba-shares-down-trump-order-china-trade-angst/,tech,fortune
Tesla prepares to deploy long-awaited self driving features in China,Tech,https://fortune.com/2025/02/24/tesla-prepares-deploy-long-awaited-self-driving-features-china/,tech,fortune
