Date,durable_goods_orders
2014-03-01,235757.0
2014-04-01,237607.0
2014-05-01,234339.0
2014-06-01,238210.0
2014-07-01,299869.0
2014-08-01,236049.0
2014-09-01,236278.0
2014-10-01,233042.0
2014-11-01,227299.0
2014-12-01,225089.0
2015-01-01,226500.0
2015-02-01,217853.0
2015-03-01,229820.0
2015-04-01,226217.0
2015-05-01,217855.0
2015-06-01,229732.0
2015-07-01,227727.0
2015-08-01,222828.0
2015-09-01,217818.0
2015-10-01,226413.0
2015-11-01,222400.0
2015-12-01,218027.0
2016-01-01,229203.0
2016-02-01,217223.0
2016-03-01,218868.0
2016-04-01,230281.0
2016-05-01,222761.0
2016-06-01,207430.0
2016-07-01,215715.0
2016-08-01,218051.0
2016-09-01,216921.0
2016-10-01,233645.0
2016-11-01,215307.0
2016-12-01,219170.0
2017-01-01,219738.0
2017-02-01,221923.0
2017-03-01,223132.0
2017-04-01,225070.0
2017-05-01,222436.0
2017-06-01,236645.0
2017-07-01,217820.0
2017-08-01,222295.0
2017-09-01,228172.0
2017-10-01,228049.0
2017-11-01,229799.0
2017-12-01,240218.0
2018-01-01,227080.0
2018-02-01,235442.0
2018-03-01,243135.0
2018-04-01,242184.0
2018-05-01,241312.0
2018-06-01,240396.0
2018-07-01,233263.0
2018-08-01,243656.0
2018-09-01,244691.0
2018-10-01,236072.0
2018-11-01,232640.0
2018-12-01,239442.0
2019-01-01,232853.0
2019-02-01,227669.0
2019-03-01,237072.0
2019-04-01,228770.0
2019-05-01,220441.0
2019-06-01,219395.0
2019-07-01,224705.0
2019-08-01,226911.0
2019-09-01,221398.0
2019-10-01,221854.0
2019-11-01,213862.0
2019-12-01,216524.0
2020-01-01,229093.0
2020-02-01,236175.0
2020-03-01,201235.0
2020-04-01,161041.0
2020-05-01,180205.0
2020-06-01,196254.0
2020-07-01,218792.0
2020-08-01,223081.0
2020-09-01,223838.0
2020-10-01,231044.0
2020-11-01,231610.0
2020-12-01,234080.0
2021-01-01,245054.0
2021-02-01,246694.0
2021-03-01,249140.0
2021-04-01,247400.0
2021-05-01,248259.0
2021-06-01,249305.0
2021-07-01,253770.0
2021-08-01,260230.0
2021-09-01,251271.0
2021-10-01,257877.0
2021-11-01,263631.0
2021-12-01,266894.0
2022-01-01,274707.0
2022-02-01,271418.0
2022-03-01,271005.0
2022-04-01,272987.0
2022-05-01,271508.0
2022-06-01,272166.0
2022-07-01,276260.0
2022-08-01,276622.0
2022-09-01,271946.0
2022-10-01,279629.0
2022-11-01,273100.0
2022-12-01,278589.0
2023-01-01,280844.0
2023-02-01,274314.0
2023-03-01,280718.0
2023-04-01,286759.0
2023-05-01,287293.0
2023-06-01,294857.0
2023-07-01,285827.0
2023-08-01,285317.0
2023-09-01,290883.0
2023-10-01,279021.0
2023-11-01,300639.0
2023-12-01,287397.0
2024-01-01,276538.0
2024-02-01,279865.0
2024-03-01,282096.0
2024-04-01,282737.0
2024-05-01,282987.0
2024-06-01,263541.0
2024-07-01,289419.0
2024-08-01,286955.0
2024-09-01,285908.0
2024-10-01,288046.0
2024-11-01,282318.0
2024-12-01,276103.0
