Date,housing_starts
2014-03-01,970.0
2014-04-01,1043.0
2014-05-01,1007.0
2014-06-01,911.0
2014-07-01,1085.0
2014-08-01,984.0
2014-09-01,1023.0
2014-10-01,1074.0
2014-11-01,1001.0
2014-12-01,1073.0
2015-01-01,1085.0
2015-02-01,886.0
2015-03-01,960.0
2015-04-01,1190.0
2015-05-01,1079.0
2015-06-01,1205.0
2015-07-01,1146.0
2015-08-01,1130.0
2015-09-01,1224.0
2015-10-01,1058.0
2015-11-01,1172.0
2015-12-01,1146.0
2016-01-01,1092.0
2016-02-01,1225.0
2016-03-01,1111.0
2016-04-01,1163.0
2016-05-01,1148.0
2016-06-01,1203.0
2016-07-01,1239.0
2016-08-01,1171.0
2016-09-01,1068.0
2016-10-01,1313.0
2016-11-01,1140.0
2016-12-01,1252.0
2017-01-01,1190.0
2017-02-01,1271.0
2017-03-01,1190.0
2017-04-01,1146.0
2017-05-01,1157.0
2017-06-01,1249.0
2017-07-01,1206.0
2017-08-01,1159.0
2017-09-01,1181.0
2017-10-01,1257.0
2017-11-01,1273.0
2017-12-01,1177.0
2018-01-01,1299.0
2018-02-01,1277.0
2018-03-01,1318.0
2018-04-01,1276.0
2018-05-01,1357.0
2018-06-01,1192.0
2018-07-01,1208.0
2018-08-01,1288.0
2018-09-01,1250.0
2018-10-01,1221.0
2018-11-01,1181.0
2018-12-01,1095.0
2019-01-01,1226.0
2019-02-01,1121.0
2019-03-01,1191.0
2019-04-01,1272.0
2019-05-01,1293.0
2019-06-01,1243.0
2019-07-01,1240.0
2019-08-01,1375.0
2019-09-01,1311.0
2019-10-01,1325.0
2019-11-01,1353.0
2019-12-01,1548.0
2020-01-01,1578.0
2020-02-01,1537.0
2020-03-01,1252.0
2020-04-01,931.0
2020-05-01,1053.0
2020-06-01,1254.0
2020-07-01,1523.0
2020-08-01,1401.0
2020-09-01,1463.0
2020-10-01,1543.0
2020-11-01,1553.0
2020-12-01,1635.0
2021-01-01,1639.0
2021-02-01,1407.0
2021-03-01,1668.0
2021-04-01,1492.0
2021-05-01,1607.0
2021-06-01,1638.0
2021-07-01,1600.0
2021-08-01,1595.0
2021-09-01,1563.0
2021-10-01,1587.0
2021-11-01,1704.0
2021-12-01,1757.0
2022-01-01,1712.0
2022-02-01,1742.0
2022-03-01,1678.0
2022-04-01,1828.0
2022-05-01,1540.0
2022-06-01,1542.0
2022-07-01,1392.0
2022-08-01,1520.0
2022-09-01,1470.0
2022-10-01,1440.0
2022-11-01,1420.0
2022-12-01,1340.0
2023-01-01,1361.0
2023-02-01,1404.0
2023-03-01,1342.0
2023-04-01,1368.0
2023-05-01,1583.0
2023-06-01,1415.0
2023-07-01,1473.0
2023-08-01,1305.0
2023-09-01,1363.0
2023-10-01,1365.0
2023-11-01,1510.0
2023-12-01,1568.0
2024-01-01,1376.0
2024-02-01,1546.0
2024-03-01,1299.0
2024-04-01,1377.0
2024-05-01,1315.0
2024-06-01,1329.0
2024-07-01,1262.0
2024-08-01,1379.0
2024-09-01,1355.0
2024-10-01,1344.0
2024-11-01,1305.0
2024-12-01,1515.0
2025-01-01,1366.0
