Date,jolts
2014-02-01,4373.0
2014-03-01,4388.0
2014-04-01,4566.0
2014-05-01,4747.0
2014-06-01,4982.0
2014-07-01,4846.0
2014-08-01,5349.0
2014-09-01,4914.0
2014-10-01,5012.0
2014-11-01,4843.0
2014-12-01,5130.0
2015-01-01,5344.0
2015-02-01,5466.0
2015-03-01,5210.0
2015-04-01,5598.0
2015-05-01,5563.0
2015-06-01,5248.0
2015-07-01,6056.0
2015-08-01,5467.0
2015-09-01,5488.0
2015-10-01,5773.0
2015-11-01,5708.0
2015-12-01,5845.0
2016-01-01,6012.0
2016-02-01,5770.0
2016-03-01,6129.0
2016-04-01,5803.0
2016-05-01,5777.0
2016-06-01,5742.0
2016-07-01,5962.0
2016-08-01,5677.0
2016-09-01,5868.0
2016-10-01,5591.0
2016-11-01,5971.0
2016-12-01,5964.0
2017-01-01,5617.0
2017-02-01,5923.0
2017-03-01,5811.0
2017-04-01,6091.0
2017-05-01,5826.0
2017-06-01,6305.0
2017-07-01,6238.0
2017-08-01,6276.0
2017-09-01,6320.0
2017-10-01,6408.0
2017-11-01,6271.0
2017-12-01,6336.0
2018-01-01,6621.0
2018-02-01,6552.0
2018-03-01,6818.0
2018-04-01,6877.0
2018-05-01,7016.0
2018-06-01,7230.0
2018-07-01,7190.0
2018-08-01,7208.0
2018-09-01,7411.0
2018-10-01,7304.0
2018-11-01,7594.0
2018-12-01,7489.0
2019-01-01,7502.0
2019-02-01,7066.0
2019-03-01,7317.0
2019-04-01,7272.0
2019-05-01,7275.0
2019-06-01,7194.0
2019-07-01,7042.0
2019-08-01,7178.0
2019-09-01,7124.0
2019-10-01,7289.0
2019-11-01,6888.0
2019-12-01,6699.0
2020-01-01,7170.0
2020-02-01,6974.0
2020-03-01,5924.0
2020-04-01,4637.0
2020-05-01,5593.0
2020-06-01,6156.0
2020-07-01,6491.0
2020-08-01,6369.0
2020-09-01,6505.0
2020-10-01,6838.0
2020-11-01,6857.0
2020-12-01,6758.0
2021-01-01,7185.0
2021-02-01,7818.0
2021-03-01,8519.0
2021-04-01,9282.0
2021-05-01,9905.0
2021-06-01,10317.0
2021-07-01,10991.0
2021-08-01,10884.0
2021-09-01,10875.0
2021-10-01,11365.0
2021-11-01,11178.0
2021-12-01,11511.0
2022-01-01,11243.0
2022-02-01,11700.0
2022-03-01,12182.0
2022-04-01,11773.0
2022-05-01,11473.0
2022-06-01,11204.0
2022-07-01,11537.0
2022-08-01,10119.0
2022-09-01,10784.0
2022-10-01,10526.0
2022-11-01,10702.0
2022-12-01,11000.0
2023-01-01,10425.0
2023-02-01,9849.0
2023-03-01,9623.0
2023-04-01,9904.0
2023-05-01,9311.0
2023-06-01,9125.0
2023-07-01,8805.0
2023-08-01,9358.0
2023-09-01,9307.0
2023-10-01,8685.0
2023-11-01,8931.0
2023-12-01,8889.0
2024-01-01,8748.0
2024-02-01,8813.0
2024-03-01,8355.0
2024-04-01,7919.0
2024-05-01,8230.0
2024-06-01,7910.0
2024-07-01,7711.0
2024-08-01,7861.0
2024-09-01,7372.0
2024-10-01,7839.0
2024-11-01,8098.0
