Date,personal_income
2014-02-01,14456.4
2014-03-01,14555.0
2014-04-01,14624.5
2014-05-01,14689.5
2014-06-01,14760.1
2014-07-01,14821.1
2014-08-01,14894.2
2014-09-01,14951.2
2014-10-01,15022.7
2014-11-01,15094.0
2014-12-01,15170.9
2015-01-01,15230.8
2015-02-01,15313.3
2015-03-01,15314.2
2015-04-01,15373.5
2015-05-01,15442.7
2015-06-01,15479.0
2015-07-01,15518.6
2015-08-01,15550.5
2015-09-01,15570.5
2015-10-01,15608.0
2015-11-01,15615.4
2015-12-01,15668.4
2016-01-01,15695.5
2016-02-01,15695.9
2016-03-01,15731.6
2016-04-01,15758.9
2016-05-01,15777.2
2016-06-01,15821.4
2016-07-01,15891.5
2016-08-01,15931.3
2016-09-01,15999.1
2016-10-01,16059.4
2016-11-01,16107.6
2016-12-01,16182.5
2017-01-01,16293.3
2017-02-01,16363.5
2017-03-01,16415.1
2017-04-01,16476.0
2017-05-01,16573.2
2017-06-01,16604.0
2017-07-01,16665.9
2017-08-01,16733.7
2017-09-01,16841.9
2017-10-01,16930.8
2017-11-01,16997.5
2017-12-01,17058.2
2018-01-01,17141.7
2018-02-01,17204.1
2018-03-01,17268.2
2018-04-01,17328.7
2018-05-01,17404.4
2018-06-01,17488.4
2018-07-01,17587.6
2018-08-01,17664.0
2018-09-01,17693.5
2018-10-01,17749.8
2018-11-01,17795.7
2018-12-01,18012.4
2019-01-01,18078.6
2019-02-01,18152.9
2019-03-01,18226.6
2019-04-01,18266.8
2019-05-01,18286.9
2019-06-01,18324.3
2019-07-01,18342.4
2019-08-01,18432.4
2019-09-01,18477.3
2019-10-01,18546.3
2019-11-01,18629.5
2019-12-01,18594.0
2020-01-01,18809.4
2020-02-01,18913.6
2020-03-01,18584.4
2020-04-01,20760.2
2020-05-01,19888.0
2020-06-01,19934.5
2020-07-01,20186.3
2020-08-01,19579.7
2020-09-01,19736.8
2020-10-01,19731.7
2020-11-01,19581.1
2020-12-01,19735.3
2021-01-01,21764.6
2021-02-01,20244.7
2021-03-01,24457.2
2021-04-01,21290.3
2021-05-01,20886.6
2021-06-01,20927.4
2021-07-01,21157.2
2021-08-01,21208.9
2021-09-01,21080.3
2021-10-01,21242.9
2021-11-01,21351.5
2021-12-01,21422.3
2022-01-01,21424.5
2022-02-01,21572.9
2022-03-01,21674.7
2022-04-01,21754.3
2022-05-01,21848.2
2022-06-01,21956.3
2022-07-01,22163.7
2022-08-01,22304.0
2022-09-01,22431.8
2022-10-01,22579.7
2022-11-01,22638.2
2022-12-01,22718.6
2023-01-01,22855.1
2023-02-01,22984.2
2023-03-01,23104.4
2023-04-01,23194.0
2023-05-01,23299.8
2023-06-01,23372.5
2023-07-01,23427.8
2023-08-01,23533.1
2023-09-01,23636.2
2023-10-01,23708.3
2023-11-01,23812.0
2023-12-01,23903.1
2024-01-01,24226.7
2024-02-01,24330.9
2024-03-01,24474.9
2024-04-01,24511.1
2024-05-01,24584.2
2024-06-01,24626.7
2024-07-01,24700.4
2024-08-01,24754.3
2024-09-01,24842.5
2024-10-01,25008.4
2024-11-01,25079.5
