Date,producer_price_index
2014-02-01,205.7
2014-03-01,207.0
2014-04-01,208.3
2014-05-01,208.0
2014-06-01,208.3
2014-07-01,208.0
2014-08-01,207.0
2014-09-01,206.4
2014-10-01,203.4
2014-11-01,200.9
2014-12-01,197.0
2015-01-01,192.0
2015-02-01,191.1
2015-03-01,191.5
2015-04-01,190.9
2015-05-01,193.4
2015-06-01,194.8
2015-07-01,193.9
2015-08-01,191.9
2015-09-01,189.1
2015-10-01,187.5
2015-11-01,185.7
2015-12-01,183.5
2016-01-01,182.6
2016-02-01,181.3
2016-03-01,182.1
2016-04-01,183.2
2016-05-01,185.3
2016-06-01,187.6
2016-07-01,187.7
2016-08-01,186.6
2016-09-01,186.9
2016-10-01,186.7
2016-11-01,186.3
2016-12-01,188.2
2017-01-01,190.7
2017-02-01,191.6
2017-03-01,191.5
2017-04-01,193.0
2017-05-01,192.8
2017-06-01,193.6
2017-07-01,193.5
2017-08-01,193.8
2017-09-01,194.8
2017-10-01,194.9
2017-11-01,195.9
2017-12-01,196.3
2018-01-01,197.9
2018-02-01,199.3
2018-03-01,199.3
2018-04-01,200.3
2018-05-01,203.2
2018-06-01,204.2
2018-07-01,204.3
2018-08-01,203.4
2018-09-01,203.6
2018-10-01,204.6
2018-11-01,202.3
2018-12-01,201.0
2019-01-01,199.1
2019-02-01,199.2
2019-03-01,200.8
2019-04-01,202.1
2019-05-01,201.7
2019-06-01,200.3
2019-07-01,200.7
2019-08-01,199.2
2019-09-01,198.4
2019-10-01,198.6
2019-11-01,199.0
2019-12-01,199.0
2020-01-01,199.3
2020-02-01,196.7
2020-03-01,193.1
2020-04-01,185.5
2020-05-01,188.6
2020-06-01,191.2
2020-07-01,193.0
2020-08-01,194.3
2020-09-01,195.5
2020-10-01,196.5
2020-11-01,198.3
2020-12-01,200.5
2021-01-01,204.8
2021-02-01,210.6
2021-03-01,215.0
2021-04-01,217.9
2021-05-01,224.9
2021-06-01,228.9
2021-07-01,231.85
2021-08-01,233.415
2021-09-01,235.678
2021-10-01,240.465
2021-11-01,243.287
2021-12-01,241.338
2022-01-01,246.453
2022-02-01,252.66
2022-03-01,260.014
2022-04-01,265.31
2022-05-01,273.251
2022-06-01,280.251
2022-07-01,272.274
2022-08-01,269.546
2022-09-01,267.898
2022-10-01,265.061
2022-11-01,263.157
2022-12-01,257.897
2023-01-01,260.227
2023-02-01,258.669
2023-03-01,257.062
2023-04-01,256.908
2023-05-01,253.67
2023-06-01,253.86
2023-07-01,253.835
2023-08-01,257.68
2023-09-01,258.934
2023-10-01,255.192
2023-11-01,252.856
2023-12-01,249.866
2024-01-01,251.306
2024-02-01,254.926
2024-03-01,255.095
2024-04-01,256.978
2024-05-01,255.313
2024-06-01,255.914
2024-07-01,257.321
2024-08-01,255.463
2024-09-01,252.684
2024-10-01,253.022
2024-11-01,253.15
2024-12-01,253.548
